,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id,average_watts,weighted_average_watts,max_watts,average_cadence,suffer_score,average_speed,max_speed,average_temp
66,6519955001,Zwift - Watopia,2022-01-13T19:42:16Z,VirtualRide,21492.3,2117,2117,32.0,"[-11.640184968709946, 166.9951815996319]",zwift-activity-991636638163550208.fit,184.8,187,254,80.7,37.0,10.152,11.7,0
67,6515031186,Zwift - Knife-edge,2022-01-12T21:07:49Z,VirtualRide,9829.0,941,941,20.0,"[51.504726838320494, -0.14682093635201454]",zwift-activity-990954965088370688.fit,210.3,222,346,83.7,0,10.445,13.258,0
68,6514952522,Zwift - Watopia,2022-01-12T20:13:00Z,VirtualRide,20594.2,2125,2125,32.0,"[-11.640473809093237, 166.9882531184703]",zwift-activity-990927112116371456.fit,165.5,171,282,79.8,18.0,9.691,12.362,0
69,6336423833,Evening Activity,2021-12-02T20:20:02Z,WeightTraining,0.0,975,975,0,[],garmin_push_7906568322,0,0,0,0,2.0,0.0,0.0,0
70,6336415381,Evening Run,2021-12-02T19:41:58Z,Run,4393.9,1153,1342,37.5,"[38.90837416984141, -77.08470745012164]",garmin_push_7906560481,0,0,0,78.8,54.0,3.811,4.53,0
71,6331781218,Afternoon Run,2021-12-01T16:31:53Z,Run,6678.3,1844,1880,114.3,"[38.9083971362561, -77.08427025005221]",garmin_push_7901453455,0,0,0,78.2,98.0,3.622,6.717,0
72,6310766308,Afternoon Activity,2021-11-26T16:21:38Z,WeightTraining,0.0,1601,1601,0,[],garmin_push_7877907392,0,0,0,0,2.0,0.0,0.0,0
73,6310765549,Afternoon Run,2021-11-26T15:28:58Z,Run,3233.6,929,929,50.8,"[33.750171242281795, -83.77616691403091]",garmin_push_7877906640,0,0,0,78.2,14.0,3.481,4.081,0
74,6306726999,Afternoon Run,2021-11-25T13:04:38Z,Run,7220.1,2163,2163,236.6,"[33.75010049901903, -83.77625416964293]",garmin_push_7873334746,0,0,0,78.8,47.0,3.338,4.555,0
75,6302839858,Afternoon Run,2021-11-24T14:46:07Z,Run,8057.9,2102,2102,115.6,"[33.75039688311517, -83.77642281353474]",garmin_push_7869090697,0,0,0,78.8,110.0,3.833,4.978,0
76,6294708523,Afternoon Run,2021-11-22T16:43:36Z,Run,5436.5,1747,1812,68.6,"[38.90827987343073, -77.08451273851097]",garmin_push_7859901235,0,0,0,77.1,67.0,3.112,4.576,0
77,6290315903,Afternoon Run,2021-11-21T15:31:57Z,Run,12503.4,3368,3379,45.3,"[38.90983236953616, -77.08545318804681]",garmin_push_7854950934,0,0,0,78.1,146.0,3.712,4.715,0
